OBJECTID,FULL_NAME,OD_COUNT
107884,Bathurst St / Queens Quay W / Eireann Quay / Little Norway Park Trl / Martin Goodman Trl,160
25846,Jarvis St / Gerrard St E,120
40469,Dundas St E / Sherbourne St,99
112333,Queen St W / Dufferin St,72
25816,Queen St E / Sherbourne St,71
113204,Queen St E / Jarvis St,57
2831,Islington Ave / Monogram Pl,57
14954,Bathurst St / Queen St W,55
12283,Richmond St W / Peter St,49
25820,Sherbourne St / Shuter St / Moss Park Trl,45
122664,Lake Shore Blvd W / Remembrance Dr / Ontario Dr,37
15784,Bay St / Front St W,37
18401,Dundas St E / Yonge St / Dundas St W,33
113637,Wellesley St E / Church St,32
113261,Queen St E / Church St,31
124630,Bay St / Hagerman St,31
25828,Dundas St E / Jarvis St,30
18404,Dundas St E / Victoria St,29
18138,Jarvis St / Isabella St,28
113379,Bathurst St / Dundas St W,26
113652,Yonge St / Charles St E,24
16271,Danforth Ave / Main St,23
114313,College St / Augusta Ave,22
113623,Yonge St / Wellesley St E / Wellesley St W,21
113629,Jarvis St / Wellesley St E,20
114301,Spadina Ave / Sullivan St,19
112404,Dovercourt Rd / Dundas St W,19
36106,Wilson Ave / Beverly Hills Dr,18
123625,Yonge St / Gerrard St E / Gerrard St W,16
122634,Lake Shore Blvd W / Jameson Ave / Jameson Av Gardiner W Ramp,16
17340,College St / Yonge St / Carlton St,16
19451,Bloor St E / Yonge St / Bloor St W,16
25831,Dundas St E / Church St,16
129800,King St W / Joe Shuster Way,15
126085,Lawrence Ave E / Galloway Rd,14
124745,Lake Shore Blvd E / Parliament St / Martin Goodman Trl,14
114645,Bathurst St / Richmond St W,14
111557,Queen St W / Sorauren Ave,13
18674,Yonge St / Shuter St,13
114310,College St / Borden St,13
17925,Danforth Ave / Victoria Park Ave,13
108663,Queen St W / Ossington Ave / Lower Ossington Ave,12
14046,Gerrard St E / Sherbourne St,12
6645,Spadina Ave / College St,12
29753,Richmond St E / Jarvis St,12
107223,Consumers Rd / Yorkland Blvd,12
9083,Weston Rd / Black Creek Dr / Humber Blvd,11
11396,Strachan Ave / Manitoba Dr / Fleet St,11
5238,Dupont St / Lansdowne Ave,11
1280,Dundas St W / Mabelle Ave,11
15792,Bay St / Lake Shore Blvd W,10
113920,Pretoria Ave / Broadview Ave,10
113553,Carlton St / Church St,10
114492,Wellesley St E / Sherbourne St,9
20063,Queen St E / Victoria St,9
28071,Shuter St / Parliament St,9
27852,Kingston Rd / Lawrence Ave E,9
114626,Danforth Ave / Dawes Rd,9
107981,Dundas St W / Denison Ave,9
124629,Bay St / Dundas St W,9
414,Kipling Ave / Horner Ave,8
28991,Dundas St E / River St,8
31570,Jarvis St / Shuter St,8
111419,Bloor St W / High Park Ave / Colborne Lodge Dr,8
25809,Church St / Shuter St,8
114325,Dundas St E / Parliament St,8
39532,College St / Bay St,8
113518,Victoria St / Shuter St,7
113040,Lower Jarvis St / The Esplanade,7
36093,Wilson Ave / Dallner Rd,7
15497,Davenport Rd / Yonge St / Church St,7
111595,Queen St W / Brock Ave,7
32865,St Clair Ave W / Vaughan Rd,7
107736,Yonge St / Gloucester St,7
27851,Lawrence Ave E / Morningside Ave,7
13333,Kingston Rd / Waverley Rd,7
11365,Bathurst St / Fort York Blvd,7
118969,Wellesley St E / Ontario St,6
113245,Queen St W / Portland St,6
118470,King St W / Queen St W / The Queensway / Roncesvalles Ave,6
10767,Sherbourne St / Carlton St,6
7948,Eglinton Ave E / Yonge St / Eglinton Ave W,6
113709,Queen St E / Parliament St,6
126418,Queen St W / Dunn Ave,6
112562,Bathurst St / Bloor St W,6
129793,Dufferin St / Liberty St,6
112489,Dundas St E / Ontario St,6
19449,Bloor St E / Church St,6
107294,Kingston Rd / Glen Everest Rd,6
12084,Bloor St E / Sherbourne St N / Sherbourne St,6
107900,Dufferin St / Bloor St W,6
109060,Woodbine Ave / O'Connor Dr,5
107581,Isabella St / Sherbourne St,5
48819,Richmond St E / Victoria St,5
107475,Yonge St / Gould St,5
24470,Scarborough Golf Club Rd / Bankwell Ave / Slan Ave,5
114451,Bay St / Queen St W,5
128944,Danforth Ave / Donlands Ave,5
5554,Bloor St W / Dundas St W,5
124317,College St / Huron St,5
113010,Adelaide St W / John St,5
117672,Dufferin St / Sylvan Ave / Dufferin Grove Park Trl,5
102370,Kennedy Rd / 401 C W Kennedy Rd Ramp,5
125457,Eglinton Ave E / Falmouth Ave / Gilder Dr,5
107715,Isabella St / Church St,5
21555,Eglinton Ave E / Mason Rd,5
112535,Bloor St W / Havelock St,5
6966,Eglinton Ave W / Heddington Ave,5
112779,Davenport Rd / Dupont St,5
127042,Finch Ave W / 400 N Finch Ramp / Finch 400 N Ramp,5
113188,Adelaide St E / Church St,5
126953,Jane St / Finch Ave W,5
129792,King St W / Dufferin St,5
113258,Bathurst St / Robinson St,5
118352,Dufferin St / Eglinton Ave W,5
40464,Carlton St / Jarvis St,5
112103,Davenport Rd / Osler St,5