CTNAME,status,municipality,population
CT 0516.02,Census Tract,Mississauga,4749
CT 0516.03,Census Tract,Mississauga,5630
CT 0516.04,Census Tract,Mississauga,6257
CT 0516.05,Census Tract,Mississauga,6210
CT 0516.06,Census Tract,Mississauga,4784
CT 0516.08,Census Tract,Mississauga,6218
CT 0516.09,Census Tract,Mississauga,6899
CT 0516.11,Census Tract,Mississauga,4699
CT 0516.16,Census Tract,Mississauga,5132
CT 0516.17,Census Tract,Mississauga,3403
CT 0516.18,Census Tract,Mississauga,3428
CT 0516.20,Census Tract,Mississauga,6104
CT 0516.21,Census Tract,Mississauga,2898
CT 0516.22,Census Tract,Mississauga,6826
CT 0516.23,Census Tract,Mississauga,5541
CT 0516.24,Census Tract,Mississauga,3953
CT 0516.25,Census Tract,Mississauga,3749
CT 0516.26,Census Tract,Mississauga,6580
CT 0516.28,Census Tract,Mississauga,4571
CT 0516.29,Census Tract,Mississauga,4699
CT 0516.30,Census Tract,Mississauga,5955
CT 0516.31,Census Tract,Mississauga,2713
CT 0516.32,Census Tract,Mississauga,4971
CT 0516.37,Census Tract,Mississauga,9288
CT 0516.38,Census Tract,Mississauga,6492
CT 0516.39,Census Tract,Mississauga,5087
CT 0516.40,Census Tract,Mississauga,6304
CT 0516.41,Census Tract,Mississauga,5727
CT 0516.43,Census Tract,Mississauga,3930
CT 0516.44,Census Tract,Mississauga,5237
CT 0516.47,Census Tract,Mississauga,5083
CT 0516.48,Census Tract,Mississauga,6541
CT 0516.5,Census Tract,Mississauga,3934
CT 0516.51,Census Tract,Mississauga,4543
CT 0516.52,Census Tract,Mississauga,4704
CT 0516.53,Census Tract,Mississauga,2656
CT 0516.54,Census Tract,Mississauga,4518
CT 0516.55,Census Tract,Mississauga,4674
CT 0517,Census Tract,Mississauga,1710
CT 0518,Census Tract,Mississauga,4328
CT 0519,Census Tract,Mississauga,3975
CT 0520.01,Census Tract,Mississauga,5179
CT 0520.02,Census Tract,Mississauga,7509
CT 0520.05,Census Tract,Mississauga,3581
CT 0520.07,Census Tract,Mississauga,4929
CT 0520.08,Census Tract,Mississauga,6094
CT 0520.09,Census Tract,Mississauga,7166
CT 0520.11,Census Tract,Mississauga,4856
CT 0520.12,Census Tract,Mississauga,5010
CT 0521.01,Census Tract,Mississauga,5504
CT 0521.02,Census Tract,Mississauga,3404
CT 0521.03,Census Tract,Mississauga,4787
CT 0521.04,Census Tract,Mississauga,6542
CT 0521.05,Census Tract,Mississauga,4248
CT 0521.06,Census Tract,Mississauga,5540
CT 0522,Census Tract,Mississauga,6034
CT 0523,Census Tract,Mississauga,6084
CT 0524.01,Census Tract,Mississauga,4658
CT 0524.02,Census Tract,Mississauga,3569
CT 0525.01,Census Tract,Mississauga,3274
CT 0525.02,Census Tract,Mississauga,4207
CT 0526.01,Census Tract,Mississauga,5810
CT 0526.02,Census Tract,Mississauga,3502
CT 0527.02,Census Tract,Mississauga,4904
CT 0527.04,Census Tract,Mississauga,5615
CT 0527.05,Census Tract,Mississauga,5369
CT 0527.06,Census Tract,Mississauga,3606
CT 0527.07,Census Tract,Mississauga,4775
CT 0527.08,Census Tract,Mississauga,4069
CT 0527.09,Census Tract,Mississauga,3312
CT 0527.1,Census Tract,Mississauga,4657
CT 0527.11,Census Tract,Mississauga,10056
CT 0527.12,Census Tract,Mississauga,4671
CT 0527.13,Census Tract,Mississauga,4060
CT 0528.01,Census Tract,Mississauga,5534
CT 0528.11,Census Tract,Mississauga,5232
CT 0528.12,Census Tract,Mississauga,5477
CT 0528.13,Census Tract,Mississauga,3397
CT 0528.15,Census Tract,Mississauga,4194
CT 0528.16,Census Tract,Mississauga,5079
CT 0528.18,Census Tract,Mississauga,6633
CT 0528.19,Census Tract,Mississauga,5068
CT 0528.20,Census Tract,Brampton,5726
CT 0528.21,Census Tract,Brampton,4781
CT 0528.22,Census Tract,Brampton,6329
CT 0528.24,Census Tract,Mississauga,4983
CT 0528.26,Census Tract,Mississauga,6807
CT 0528.31,Census Tract,Brampton,6442
CT 0528.32,Census Tract,Mississauga,4088
CT 0528.33,Census Tract,Mississauga,6224
CT 0528.34,Census Tract,Mississauga,5810
CT 0528.35,Census Tract,Mississauga,3056
"CT 0528.35
 3,056 Population [2021] – Census
 15.03 km² Area
 203.3/km² Population Density [2021]
 -1.6% Annual Population Change [2016 → 2021]",,,
CT 0528.39,Census Tract,Mississauga,6827
CT 0528.40,Census Tract,Mississauga,6071
CT 0528.42,Census Tract,Mississauga,5315
CT 0528.43,Census Tract,Mississauga,4975
CT 0528.44,Census Tract,Mississauga,1887
CT 0528.45,Census Tract,Mississauga,5454
CT 0528.46,Census Tract,Mississauga,6862
CT 0528.47,Census Tract,Mississauga,5044
CT 0528.49,Census Tract,Mississauga,4740
CT 0528.5,Census Tract,Brampton,3385
CT 0528.51,Census Tract,Brampton,4420
CT 0528.52,Census Tract,Brampton,6489
CT 0528.53,Census Tract,Brampton,2554
CT 0528.54,Census Tract,Mississauga,2935
CT 0528.55,Census Tract,Mississauga,4761
CT 0528.56,Census Tract,Mississauga,3455
CT 0528.57,Census Tract,Mississauga,4104
CT 0528.58,Census Tract,Mississauga,4073
CT 0528.59,Census Tract,Mississauga,4224
CT 0528.6,Census Tract,Mississauga,3626
CT 0528.61,Census Tract,Mississauga,4026
CT 0528.62,Census Tract,Mississauga,1778
CT 0528.63,Census Tract,Mississauga,5942
CT 0529.01,Census Tract,Mississauga,4097
CT 0529.02,Census Tract,Mississauga,4675
CT 0530.01,Census Tract,Mississauga,5217
CT 0530.02,Census Tract,Mississauga,3117
CT 0531.01,Census Tract,Mississauga,4106
CT 0531.02,Census Tract,Mississauga,6405
CT 0532.01,Census Tract,Mississauga,4319
CT 0532.02,Census Tract,Mississauga,4508
CT 0540.01,Census Tract,Mississauga,4850
CT 0540.02,Census Tract,Mississauga,5658
CT 0550.01,Census Tract,Mississauga,4672
CT 0550.02,Census Tract,Mississauga,7557
CT 0560,Census Tract,Brampton,6482
CT 0561,Census Tract,Brampton,6821
CT 0562.02,Census Tract,Brampton,6521
CT 0562.03,Census Tract,Brampton,5071
CT 0562.04,Census Tract,Brampton,4830
CT 0562.05,Census Tract,Brampton,5930
CT 0562.06,Census Tract,Brampton,3056
CT 0562.07,Census Tract,Brampton,4600
CT 0562.08,Census Tract,Brampton,4201
CT 0562.09,Census Tract,Brampton,4023
CT 0562.11,Census Tract,Brampton,3110
CT 0562.12,Census Tract,Brampton,7158
CT 0562.13,Census Tract,Brampton,1192
CT 0562.14,Census Tract,Brampton,3889
CT 0562.15,Census Tract,Brampton,3624
CT 0563.01,Census Tract,Brampton,6622
CT 0563.02,Census Tract,Brampton,3396
CT 0564.01,Census Tract,Brampton,2351
CT 0564.02,Census Tract,Brampton,4893
CT 0570.01,Census Tract,Brampton,4012
CT 0570.02,Census Tract,Brampton,4200
CT 0571.01,Census Tract,Brampton,3838
CT 0571.02,Census Tract,Brampton,4308
CT 0572.01,Census Tract,Brampton,7707
CT 0572.04,Census Tract,Brampton,3388
CT 0572.05,Census Tract,Brampton,6290
CT 0572.07,Census Tract,Brampton,4650
CT 0572.08,Census Tract,Brampton,5661
CT 0572.09,Census Tract,Brampton,4674
CT 0572.10,Census Tract,Brampton,3567
CT 0573.03,Census Tract,Brampton,6410
CT 0573.05,Census Tract,Brampton,5978
CT 0573.06,Census Tract,Brampton,4611
CT 0573.07,Census Tract,Brampton,6129
CT 0573.09,Census Tract,Brampton,6086
CT 0573.10,Census Tract,Brampton,3168
CT 0573.11,Census Tract,Brampton,4944
CT 0574,Census Tract,Brampton,6640
CT 0575.01,Census Tract,Brampton,5985
CT 0575.02,Census Tract,Brampton,4910
CT 0575.03,Census Tract,Brampton,6598
CT 0575.04,Census Tract,Brampton,6562
CT 0575.05,Census Tract,Brampton,6956
CT 0575.07,Census Tract,Brampton,3967
CT 0575.08,Census Tract,Brampton,5669
CT 0576.04,Census Tract,Brampton,4529
CT 0576.05,Census Tract,Brampton,6834
CT 0576.06,Census Tract,Brampton,8244
CT 0576.07,Census Tract,Brampton,4495
CT 0576.09,Census Tract,Brampton,3966
CT 0576.16,Census Tract,Brampton,6366
CT 0576.17,Census Tract,Brampton,6724
CT 0576.20,Census Tract,Brampton,6606
CT 0576.22,Census Tract,Brampton,7297
CT 0576.29,Census Tract,Brampton,4160
CT 0576.31,Census Tract,Brampton,3726
CT 0576.33,Census Tract,Brampton,2624
CT 0576.34,Census Tract,Brampton,5987
CT 0576.43,Census Tract,Brampton,6487
CT 0576.44,Census Tract,Brampton,2727
CT 0576.45,Census Tract,Brampton,2816
CT 0576.46,Census Tract,Brampton,5286
CT 0576.47,Census Tract,Brampton,4274
CT 0576.49,Census Tract,Brampton,5144
CT 0576.50,Census Tract,Brampton,6726
CT 0576.52,Census Tract,Brampton,5738
CT 0576.53,Census Tract,Brampton,4365
CT 0576.54,Census Tract,Brampton,5729
CT 0576.55,Census Tract,Brampton,6734
CT 0576.57,Census Tract,Brampton,4141
CT 0576.59,Census Tract,Brampton,6394
CT 0576.62,Census Tract,Brampton,6824
CT 0576.63,Census Tract,Brampton,6577
CT 0576.65,Census Tract,Brampton,3054
CT 0576.66,Census Tract,Brampton,6457
CT 0576.68,Census Tract,Brampton,4910
CT 0576.69,Census Tract,Brampton,5710
CT 0576.73,Census Tract,Brampton,2587
CT 0576.74,Census Tract,Brampton,8511
CT 0576.75,Census Tract,Brampton,6421
CT 0576.76,Census Tract,Brampton,4803
CT 0576.77,Census Tract,Brampton,5196
CT 0576.78,Census Tract,Brampton,5212
CT 0576.79,Census Tract,Brampton,2684
CT 0576.8,Census Tract,Brampton,3248
CT 0576.81,Census Tract,Brampton,4741
CT 0576.82,Census Tract,Brampton,5296
CT 0576.83,Census Tract,Brampton,2549
CT 0576.84,Census Tract,Brampton,5595
CT 0576.85,Census Tract,Brampton,6827
CT 0576.86,Census Tract,Brampton,4443
CT 0576.87,Census Tract,Brampton,4013
CT 0576.88,Census Tract,Brampton,4353
CT 0576.89,Census Tract,Brampton,3694
CT 0576.9,Census Tract,Brampton,3930
CT 0576.91,Census Tract,Brampton,12629
CT 0576.92,Census Tract,Brampton,5764
CT 0576.93,Census Tract,Brampton,8477
CT 0576.94,Census Tract,Brampton,4490
CT 0576.95,Census Tract,Brampton,4269
CT 0576.96,Census Tract,Brampton,7097
CT 0576.97,Census Tract,Brampton,4351
CT 0576.98,Census Tract,Brampton,29669
CT 0576.99,Census Tract,Brampton,5773
CT 0577,Census Tract,Brampton,9294
CT 0577.01,Census Tract,Brampton,3270
CT 0577.02,Census Tract,Brampton,5173
CT 0577.03,Census Tract,Brampton,6193
CT 0577.04,Census Tract,Brampton,6712
CT 0577.05,Census Tract,Brampton,5208
CT 0577.06,Census Tract,Brampton,5823
CT 0577.07,Census Tract,Brampton,3726
CT 0577.08,Census Tract,Brampton,4532
CT 0577.09,Census Tract,Brampton,3472
CT 0585.02,Census Tract,Caledon,6275
CT 0585.03,Census Tract,Caledon,5493
CT 0585.05,Census Tract,Caledon,6882
CT 0585.07,Census Tract,Caledon,7842
CT 0585.08,Census Tract,Caledon,4020
CT 0585.09,Census Tract,Caledon,5872
CT 0585.10,Census Tract,Caledon,4628
CT 0586.02,Census Tract,Caledon,3032
CT 0586.03,Census Tract,Caledon,4674
CT 0586.04,Census Tract,Caledon,6588
CT 0586.05,Census Tract,Caledon,9563
CT 0587.01,Census Tract,Caledon,6072
CT 0587.02,Census Tract,Caledon,5640
CT 0590,Census Tract,Orangeville,5041
CT 0591.01,Census Tract,Orangeville,5602
CT 0591.02,Census Tract,Orangeville,5314
CT 0592.01,Census Tract,Orangeville,6839
CT 0592.02,Census Tract,Orangeville,7371
CT 0593.01,Census Tract,Mono,3289
CT 0593.02,Census Tract,Mono,1809
CT 0593.03,Census Tract,Mono,1747
CT 0593.04,Census Tract,Mono,2576
CT 0600.01,Census Tract,Oakville,6273
CT 0600.02,Census Tract,Oakville,6756
CT 0601,Census Tract,Oakville,4159
CT 0602,Census Tract,Oakville,4851
CT 0603,Census Tract,Oakville,5790
CT 0604,Census Tract,Oakville,2382
CT 0605,Census Tract,Oakville,2544
CT 0606,Census Tract,Oakville,5384
CT 0607,Census Tract,Oakville,3068
CT 0608,Census Tract,Oakville,2746
CT 0609,Census Tract,Oakville,2943
CT 0610.03,Census Tract,Oakville,4563
CT 0610.04,Census Tract,Oakville,3228
CT 0610.05,Census Tract,Oakville,4592
CT 0610.06,Census Tract,Oakville,4234
CT 0611,Census Tract,Oakville,5025
CT 0612.01,Census Tract,Oakville,51
CT 0612.03,Census Tract,Oakville,6108
CT 0612.05,Census Tract,Oakville,5753
CT 0612.08,Census Tract,Oakville,5410
CT 0612.10,Census Tract,Oakville,44
CT 0612.11,Census Tract,Oakville,5655
CT 0612.12,Census Tract,Oakville,6550
CT 0612.13,Census Tract,Oakville,3763
CT 0612.14,Census Tract,Oakville,4311
CT 0612.15,Census Tract,Oakville,7989
CT 0612.18,Census Tract,Oakville,4410
CT 0612.19,Census Tract,Oakville,4008
CT 0612.20,Census Tract,Oakville,4302
CT 0612.21,Census Tract,Oakville,6922
CT 0612.22,Census Tract,Oakville,8217
CT 0612.23,Census Tract,Oakville,4957
CT 0612.25,Census Tract,Oakville,5324
CT 0612.26,Census Tract,Oakville,6373
CT 0612.27,Census Tract,Oakville,5327
CT 0612.28,Census Tract,Oakville,3918
CT 0612.29,Census Tract,Oakville,4110
CT 0613.01,Census Tract,Oakville,4269
CT 0613.03,Census Tract,Oakville,4207
CT 0613.04,Census Tract,Oakville,4856
CT 0614.01,Census Tract,Oakville,3141
CT 0614.02,Census Tract,Oakville,3929
CT 0615,Census Tract,Oakville,21317
CT 0620.05,Census Tract,Milton,4761
CT 0620.06,Census Tract,Milton,7833
CT 0620.07,Census Tract,Milton,5458
CT 0620.09,Census Tract,Milton,6174
CT 0620.13,Census Tract,Milton,2419
CT 0620.14,Census Tract,Milton,5784
CT 0620.15,Census Tract,Milton,4095
CT 0620.16,Census Tract,Milton,3238
CT 0620.17,Census Tract,Milton,5138
CT 0620.18,Census Tract,Milton,4634
CT 0620.19,Census Tract,Milton,3155
CT 0620.2,Census Tract,Milton,4584
CT 0620.21,Census Tract,Milton,5328
CT 0620.22,Census Tract,Milton,4823
CT 0620.23,Census Tract,Milton,4508
CT 0620.24,Census Tract,Milton,7044
CT 0620.25,Census Tract,Milton,5889
CT 0620.26,Census Tract,Milton,3554
CT 0620.27,Census Tract,Milton,4385
CT 0620.28,Census Tract,Milton,4093
CT 0620.29,Census Tract,Milton,7578
CT 0621,Census Tract,Milton,6057
CT 0622,Census Tract,Milton,6203
CT 0623,Census Tract,Milton,3572
CT 0624,Census Tract,Milton,5288
CT 0625,Census Tract,Milton,1457
CT 0626,Census Tract,Milton,5927
CT 0630,Census Tract,Halton Hills,3352
CT 0631.02,Census Tract,Halton Hills,5911
CT 0631.03,Census Tract,Halton Hills,4968
CT 0631.04,Census Tract,Halton Hills,5650
CT 0632,Census Tract,Halton Hills,4412
CT 0633,Census Tract,Halton Hills,3736
CT 0634.01,Census Tract,Halton Hills,4381
CT 0634.02,Census Tract,Halton Hills,3595
CT 0635,Census Tract,Halton Hills,6022
CT 0636,Census Tract,Halton Hills,3185
CT 0637,Census Tract,Halton Hills,7306
CT 0638,Census Tract,Halton Hills,6034
CT 0639,Census Tract,Halton Hills,4399
CT 0800.01,Census Tract,Pickering,3828
CT 0800.02,Census Tract,Pickering,4844
CT 0801.01,Census Tract,Pickering,3579
CT 0801.02,Census Tract,Pickering,6181
CT 0802.01,Census Tract,Toronto,4011
CT 0802.02,Census Tract,Toronto,5373
CT 0803.03,Census Tract,Pickering,5633
CT 0803.04,Census Tract,Pickering,6258
CT 0803.05,Census Tract,Pickering,6850
CT 0803.06,Census Tract,Pickering,5452
CT 0804.01,Census Tract,Pickering,7216
CT 0804.05,Census Tract,Pickering,7125
CT 0804.06,Census Tract,Pickering,3011
CT 0804.07,Census Tract,Pickering,3796
CT 0804.08,Census Tract,Pickering,3623
CT 0804.10,Census Tract,Pickering,4860
CT 0804.11,Census Tract,Pickering,5896
CT 0804.12,Census Tract,Pickering,8874
CT 0804.13,Census Tract,Pickering,4931
CT 0805.04,Census Tract,Ajax,8024
CT 0805.06,Census Tract,Ajax,6154
CT 0805.09,Census Tract,Ajax,5648
CT 0805.10,Census Tract,Ajax,6464
CT 0805.16,Census Tract,Ajax,7541
CT 0805.17,Census Tract,Ajax,5598
CT 0805.18,Census Tract,Ajax,3011
CT 0805.19,Census Tract,Ajax,1794
CT 0805.20,Census Tract,Ajax,4716
CT 0805.21,Census Tract,Ajax,1664
CT 0805.22,Census Tract,Ajax,4696
CT 0805.23,Census Tract,Ajax,6964
CT 0805.24,Census Tract,Ajax,333
CT 0805.25,Census Tract,Ajax,10050
CT 0805.26,Census Tract,Ajax,346
CT 0805.27,Census Tract,Ajax,8917
CT 0806,Census Tract,Pickering,4854
CT 0807,Census Tract,Pickering,2375
CT 0810.01,Census Tract,Ajax,4123
CT 0810.02,Census Tract,Ajax,2402
CT 0810.03,Census Tract,Ajax,3147
CT 0810.04,Census Tract,Ajax,6306
CT 0810.05,Census Tract,Ajax,3642
CT 0811,Census Tract,Ajax,3882
CT 0812,Census Tract,Ajax,6203
CT 0820.03,Census Tract,Ajax,3884
CT 0820.04,Census Tract,Ajax,2704
CT 0820.05,Census Tract,Ajax,2371
CT 0820.06,Census Tract,Ajax,1994
CT 0820.07,Census Tract,Ajax,4088
CT 0830,Census Tract,Uxbridge,4964
CT 0831.01,Census Tract,Uxbridge,5660
CT 0831.02,Census Tract,Uxbridge,6904
CT 0832,Census Tract,Uxbridge,4028